发震时刻,震级,纬度,经度,深度,参考位置
2020-05-09 23:35:59,5.2,40.77,78.76,15,新疆阿克苏地区柯坪县
2020-05-06 18:51:00,5,39.71,74.1,10,新疆克孜勒苏州乌恰县
2020-05-03 19:54:26,6,31.37,128.7,10,日本九州岛附近海域
2020-05-03 11:24:40,5.4,23.29,121.6,40,台湾台东县海域
2020-04-16 19:45:25,5.8,22.72,94,10,缅甸
2020-04-11 02:45:48,5.1,5.64,126.69,80,菲律宾棉兰老岛附近海域
2020-04-11 00:44:56,5.9,20.35,122.15,150,菲律宾群岛地区
2020-04-01 20:23:27,5.6,33.04,98.92,10,四川甘孜州石渠县
2020-03-23 03:21:39,5,41.75,81.11,10,新疆阿克苏地区拜城县
2020-03-20 11:03:15,5.9,46.03,94.14,10,蒙古
2020-03-20 09:33:15,5.9,28.63,87.42,10,西藏日喀则市定日县
2020-03-12 23:44:03,5.1,32.88,85.55,10,西藏阿里地区改则县
2020-03-10 02:12:11,5,32.84,85.52,10,西藏阿里地区改则县
2020-02-21 23:39:14,5.1,39.87,77.47,10,新疆喀什地区伽师县
2020-02-21 02:01:40,5,34.56,85.68,9,西藏阿里地区改则县
2020-02-20 17:54:07,5.3,5.7,125.7,200,棉兰老岛附近海域
2020-02-15 19:00:07,5.4,23.95,121.49,10,台湾花莲县
2020-02-15 11:31:56,5,41.85,79.32,15,吉尔吉斯斯坦
2020-02-06 21:40:08,5.8,5.45,126.52,30,棉兰老岛附近海域
2020-02-03 00:05:41,5.1,30.74,104.46,21,四川成都市青白江区
2020-01-29 07:39:29,5.3,27.16,126.6,10,东海海域
2020-01-25 06:56:05,5.1,31.98,95.09,10,西藏昌都市丁青县
2020-01-19 22:23:01,5.2,39.89,77.46,14,新疆克孜勒苏州阿图什市
2020-01-19 21:27:55,6.4,39.83,77.21,16,新疆喀什地区伽师县
2020-01-18 00:05:50,5.4,39.83,77.18,20,新疆喀什地区伽师县
2020-01-16 16:32:38,5.6,41.21,83.6,16,新疆阿克苏地区库车县
2019-12-05 08:02:00,4.5,39.31,118.04,10,河北唐山市丰南区
