Station	EW	NS	UD	latitude	longitude
TZ0001	0.174559326	0.130240479	0.054399414	39.15	118.32
TZ0002	0.387606163	0.406747208	0.267974644	39.48	118.08
TZ0003	0.80392395	0.713003922	0.698648148	39.36	118.01
TZ0004	0.449814568	0.301471462	0.191410446	39.47	118.55
TZ0005	1.392511139	0.92355545	0.579016647	39.40	117.97
TZ0006	0.928340683	0.382820892	0.363679848	39.31	118.01
TZ0007	0	0	0	39.35	118.29
TZ0008	1.4595047	0.885273361	0.459385109	39.71	118.20
TZ0009	1.138892212	1.938030853	0.569446106	39.36	118.02
TZ0010	0.569446106	0.6699366	0.282330418	39.17	118.15
TZ0011	4.785261536	3.129560852	1.368584747	39.30	117.91
TZ0012	0.282330418	0.258404121	0.320612488	39.36	118.23
TZ0013	0.598157692	0.650795517	0.205766239	39.60	117.95
TZ0014	0.248800049	0.167039795	0.116159668	40.02	118.12
TZ0015	1.119751129	0.894843903	0.521593475	39.53	117.80
TZ0016	0.224907284	0.229692554	0.138772583	40.02	118.23
TZ0017	0.909199677	0.392391434	0.368465118	39.53	118.06
TZ0018	4.574709778	21.88778564	17.45184814	39.56	118.11
TZ0019	0.143557844	0.148343105	0.153128366	39.99	118.26
TZ0020	0.435458794	0.440244064	0.244048328	39.54	118.27
TZ0021	0.502452431	0.698648148	0.42110302	39.62	118.44
TZ0022	0.387040405	0.300160007	0.236159992	39.70	118.55
TZ0023	0.30352005	0.384000015	0.227679996	39.73	118.38
TZ0024	0.272759895	0.392391434	0.526378784	39.44	118.36
TZ0025	0.177054672	0.157913628	0.263189373	39.15	118.28
TZ0026	0.42110302	0.349324074	0.358894615	39.36	118.44
TZ0027	0.607728195	0.732144928	0.397176704	39.47	118.47
TZ0028	0.459385109	0.397176704	0.224907284	39.98	118.23
TZ0029	0.152799997	0.741279984	0.124320002	39.30	118.24
TZ0030	0.895200195	0.503359375	0.386560059	39.15	118.28
TZ0031	0.358894615	0.397176704	0.282330418	39.58	118.41
TZ0032	0.406747208	0.445029297	0.148343105	39.94	118.05
TZ0033	1.114965897	0.598157692	0.358894577	39.69	118.31
TZ0034	0.339840088	0.346721191	0.314559326	39.24	118.19
TZ0035	0.20144043	0.221120605	0.161759033	39.38	118.31
TZ0036	0.267974644	0.196195717	0.16748415	39.30	118.27
TZ0037	0.3940802	0.21184082	0.455522461	39.37	118.27
TZ0038	0.29190094	0.296686211	0.162698898	39.74	117.64
TZ0039	0.301471462	0.373250389	0.229692554	39.56	117.41
TZ0040	0.799138641	0.492881927	0.550305061	39.61	118.34
TZ0041	1.114965897	1.038401718	0.75607132	39.38	117.89
TZ0042	0.617298737	0.660366058	0.3349683	39.72	118.12
TZ0043	0.052637877	0.066993661	0.066993661	39.53	118.51
TZ0044	0.842206039	0.980978622	0.507237701	39.63	117.97
TZ0045	1.818399353	1.239382706	0.521593475	39.45	117.73
TZ0046	0.002171461	0.000909293	0.000848448	39.16	118.31
TZ0047	0.00878287	0.008703464	0.004230112	39.32	117.78
TZ0048	0.042577229	0.051264734	0.019669117	39.17	117.85
TZ0049	0.018685319	0.026820056	0.011370207	39.71	117.57
TZ0050	0.03035558	0.063815393	0.007337153	39.22	117.93
TZ0051	0.044732618	0.034257138	0.032877474	39.06	117.86
